category,slug,sku,description,image,video
Stickers,stickers,S,Stickers en vinyl de la mejor calidad.,category_images/stickers.png,
Empaques,empaques,E,Empaques con el diseño que tú envíes.,category_images/empaques.png,
Hogar y regalos,hogar-y-regalos,H,Adornos para el hogar con diseños personalizados.,category_images/hogar_y_regalos.png,
Invitaciones,invitaciones,I,Invitaciones y partes de boda con diseños personalizados.,category_images/invitaciones.png,
Ofertas,ofertas,O,Mira nuestras ofertas del día.,category_images/ofertas.png,
Productos promocionales,productos-promocionales,P,Productos promocionales con diseño personalizado.,category_images/productos_promocionales.png,
Publicidad impresa,publicidad-impresa,P,Productos promocionales con diseño personalizado.,category_images/productos_promocionales.png,
Ropa,ropa,R,Ropa con diseño personalizado.,category_images/ropa.png,
Tarjetas de presentación,tarjetas-de-presentacion,T,Tarjetas de presentación con diseño personalizado.,category_images/tarjetas_de_presentacion.png,
