slug;name;hex_code;display_order;is_active
amarillo;Amarillo;#d1f86b;0;True
arena;Arena;#ebdfc9;1;True
asfalto;Asfalto;#575757;2;True
azalea;Azalea;#fe8fa8;3;True
azul;Azul;#94e1e7;4;True
azul-carolina;Azul Carolina;#6e84b6;5;True
azul-cielo-nocturno;Azul Cielo Nocturno;#28263a;6;True
azul-claro;Azul Claro;#bfcfe6;7;True
azul-marino;Azul Marino;#393b47;8;True
azul-marino-jaspeado;Azul Marino Jaspeado;#555a65;9;True
azul-real;Azul Real;#3e63b1;10;True
azul-real-verdadero;Azul Real Verdadero;#1f3d8e;11;True
blanco;Blanco;#f2f2f2;12;True
blanco-brillante;Blanco Brillante;#f6f5f7;13;True
carbon;Carbon;#53535a;14;True
cardenal;Cardenal;#b1333e;15;True
ceniza;Ceniza;#a4acb9;16;True
coral-seda;Coral Seda;#f67875;17;True
deep-forest;Deep Forest;#152926;18;True
dorado;Dorado;#c69d45;19;True
fuchsia-frost;Fuchsia Frost;#ec3f79;20;True
granate;Granate;#5b202c;21;True
graphite;Graphite;#948e9a;22;True
gris;Gris;#c0c0c0;23;True
gris-deportivo;Gris Deportivo;#d5d5d7;24;True
gris-jaspeado;Gris Jaspeado;#a8a8a8;25;True
gris-terreno;Gris Terreno;#545556;26;True
heather-peach;Heather Peach;#e38062;27;True
heather-sangria;Heather Sangria;#f76685;28;True
indigo;Indigo;#51606c;29;True
kelly;Kelly;#00af74;30;True
light-steel;Light Steel;#bfbcc3;31;True
lila;Lila;#e7b0cd;32;True
margarita;Margarita;#fee34b;33;True
marron;Marron;#685b3d;34;True
morado;Morado;#402768;35;True
morado-equipo;Morado Equipo;#4d2a6e;36;True
naranja;Naranja;#f36c40;37;True
natural;Natural;#dedac8;38;True
negro;Negro;#04080b;39;True
negro-profundo;Negro Profundo;#242224;40;True
rojo;Rojo;#cd2f3c;41;True
rojo-cereza;Rojo Cereza;#de043e;42;True
rosa;Rosa;#e8d1d7;43;True
rosa-claro;Rosa Claro;#ebb8c7;44;True
rosa-fucsia;Rosa Fucsia;#f67599;45;True
sangria;Sangria;#f85582;46;True
shiraz;Shiraz;#593541;47;True
sky;Sky;#abc9e5;48;True
smoked-paprika;Smoked Paprika;#6d4344;49;True
turquoise;Turquoise;#016dab;50;True
turquoise-frost;Turquoise Frost;#67aece;51;True
verde;Verde;#30534d;52;True
verde-azulado;Verde Azulado;#006f7a;53;True
verde-bosque;Verde Bosque;#347235;54;True
verde-irlandes;Verde Irlandes;#01bb6e;55;True
verde-kelly;Verde Kelly;#02a774;56;True
verde-militar;Verde Militar;#7a805e;57;True
verde-oscuro;Verde Oscuro;#3.94E+43;58;True
vintage-turquoise;Vintage Turquoise;#39a4c6;59;True
violeta;Violeta;#a7a0c2;60;True
zafiro;Zafiro;#5cafd8;61;True
